block_geo_id,county_geo_id,state_fips_code,county_fips_code,block_group_fips_code,state_name,county_name,state,block_year,county_year,block_adi_percent,county_adi_percent,
1,15000US010010201001,05000US01001,1,1001,10010201001,Alabama,Autauga County,AL,2018,2018,79,27
2,15000US010010201002,05000US01001,1,1001,10010201002,Alabama,Autauga County,AL,2020,2018,38,27
3,15000US010010204002,05000US01001,1,1001,10010204002,Alabama,Autauga County,AL,2020,2018,34,27
4,15000US010010207001,05000US01001,1,1001,10010207001,Alabama,Autauga County,AL,2020,2018,91,27
5,15000US010010207002,05000US01001,1,1001,10010207002,Alabama,Autauga County,AL,2018,2018,49,27
6,15000US010010210001,05000US01001,1,1001,10010210001,Alabama,Autauga County,AL,2019,2018,74,27
7,15000US010010211001,05000US01001,1,1001,10010211001,Alabama,Autauga County,AL,2020,2018,88,27
8,15000US010010211001,05000US01001,1,1001,10010211001,Alabama,Autauga County,AL,2019,2018,80,27
9,15000US010030101003,05000US01003,1,1003,10030101003,Alabama,Baldwin County,AL,2018,2018,53,20
10,15000US010030102002,05000US01003,1,1003,10030102002,Alabama,Baldwin County,AL,2019,2018,78,20
11,15000US010030104001,05000US01003,1,1003,10030104001,Alabama,Baldwin County,AL,2020,2018,57,20
12,15000US010030104002,05000US01003,1,1003,10030104002,Alabama,Baldwin County,AL,2020,2018,31,20
13,15000US010030104003,05000US01003,1,1003,10030104003,Alabama,Baldwin County,AL,2019,2018,59,20
14,15000US010030105001,05000US01003,1,1003,10030105001,Alabama,Baldwin County,AL,2019,2018,69,20
15,15000US010030105003,05000US01003,1,1003,10030105003,Alabama,Baldwin County,AL,2018,2018,35,20
16,15000US010030107011,05000US01003,1,1003,10030107011,Alabama,Baldwin County,AL,2018,2018,10,20
17,15000US010030107031,05000US01003,1,1003,10030107031,Alabama,Baldwin County,AL,2019,2018,12,20
18,15000US010030108003,05000US01003,1,1003,10030108003,Alabama,Baldwin County,AL,2020,2018,47,20
19,15000US010030109031,05000US01003,1,1003,10030109031,Alabama,Baldwin County,AL,2018,2018,58,20
20,15000US010030109041,05000US01003,1,1003,10030109041,Alabama,Baldwin County,AL,2018,2018,65,20
21,15000US010030109061,05000US01003,1,1003,10030109061,Alabama,Baldwin County,AL,2020,2018,74,20
22,15000US010030111022,05000US01003,1,1003,10030111022,Alabama,Baldwin County,AL,2019,2018,37,20
23,15000US010030112011,05000US01003,1,1003,10030112011,Alabama,Baldwin County,AL,2019,2018,41,20
24,15000US010030112024,05000US01003,1,1003,10030112024,Alabama,Baldwin County,AL,2020,2018,18,20
25,15000US010030113004,05000US01003,1,1003,10030113004,Alabama,Baldwin County,AL,2020,2018,23,20
26,15000US010030114013,05000US01003,1,1003,10030114013,Alabama,Baldwin County,AL,2020,2018,64,20
27,15000US010030114014,05000US01003,1,1003,10030114014,Alabama,Baldwin County,AL,2020,2018,57,20
28,15000US010030114062,05000US01003,1,1003,10030114062,Alabama,Baldwin County,AL,2020,2018,33,20
29,15000US010030114072,05000US01003,1,1003,10030114072,Alabama,Baldwin County,AL,2020,2018,49,20
30,15000US010030114073,05000US01003,1,1003,10030114073,Alabama,Baldwin County,AL,2018,2018,32,20
31,15000US010030115012,05000US01003,1,1003,10030115012,Alabama,Baldwin County,AL,2020,2018,52,20
32,15000US010030115021,05000US01003,1,1003,10030115021,Alabama,Baldwin County,AL,2019,2018,63,20
33,15000US010030115023,05000US01003,1,1003,10030115023,Alabama,Baldwin County,AL,2019,2018,87,20
34,15000US010030115024,05000US01003,1,1003,10030115024,Alabama,Baldwin County,AL,2019,2018,18,20
35,15000US010030116012,05000US01003,1,1003,10030116012,Alabama,Baldwin County,AL,2019,2018,78,20
36,15000US010030116013,05000US01003,1,1003,10030116013,Alabama,Baldwin County,AL,2020,2018,45,20
37,15000US010030116024,05000US01003,1,1003,10030116024,Alabama,Baldwin County,AL,2019,2018,46,20
38,15000US010039900000,05000US01003,1,1003,10039900000,Alabama,Baldwin County,AL,2019,2018,null,20
39,15000US010059501001,05000US01005,1,1005,10059501001,Alabama,Barbour County,AL,2020,2018,83,94
40,15000US010059502001,05000US01005,1,1005,10059502001,Alabama,Barbour County,AL,2020,2018,95,94
41,15000US010059502002,05000US01005,1,1005,10059502002,Alabama,Barbour County,AL,2019,2018,88,94
42,15000US010059506001,05000US01005,1,1005,10059506001,Alabama,Barbour County,AL,2019,2018,96,94
43,15000US010059508002,05000US01005,1,1005,10059508002,Alabama,Barbour County,AL,2018,2018,48,94
44,15000US010070100012,05000US01007,1,1007,10070100012,Alabama,Bibb County,AL,2019,2018,75,70
45,15000US010070100021,05000US01007,1,1007,10070100021,Alabama,Bibb County,AL,2020,2018,67,70
46,15000US010070100023,05000US01007,1,1007,10070100023,Alabama,Bibb County,AL,2020,2018,65,70
47,15000US010070100041,05000US01007,1,1007,10070100041,Alabama,Bibb County,AL,2019,2018,62,70
48,15000US010070100044,05000US01007,1,1007,10070100044,Alabama,Bibb County,AL,2020,2018,85,70
49,15000US010070100044,05000US01007,1,1007,10070100044,Alabama,Bibb County,AL,2018,2018,67,70
50,15000US010090501023,05000US01009,1,1009,10090501023,Alabama,Blount County,AL,2019,2018,76,61
51,15000US010090503003,05000US01009,1,1009,10090503003,Alabama,Blount County,AL,2020,2018,64,61
52,15000US010090503003,05000US01009,1,1009,10090503003,Alabama,Blount County,AL,2019,2018,67,61
53,15000US010090504001,05000US01009,1,1009,10090504001,Alabama,Blount County,AL,2018,2018,62,61
54,15000US010090505004,05000US01009,1,1009,10090505004,Alabama,Blount County,AL,2019,2018,58,61
55,15000US010090505005,05000US01009,1,1009,10090505005,Alabama,Blount County,AL,2020,2018,53,61
56,15000US010090506025,05000US01009,1,1009,10090506025,Alabama,Blount County,AL,2020,2018,57,61
57,15000US010090507001,05000US01009,1,1009,10090507001,Alabama,Blount County,AL,2020,2018,75,61
58,15000US010119521001,05000US01011,1,1011,10119521001,Alabama,Bullock County,AL,2020,2018,95,98
59,15000US010119522001,05000US01011,1,1011,10119522001,Alabama,Bullock County,AL,2018,2018,74,98
60,15000US010119525001,05000US01011,1,1011,10119525001,Alabama,Bullock County,AL,2019,2018,67,98
61,15000US010139529002,05000US01013,1,1013,10139529002,Alabama,Butler County,AL,2019,2018,89,88
62,15000US010139533001,05000US01013,1,1013,10139533001,Alabama,Butler County,AL,2018,2018,57,88
63,15000US010150004001,05000US01015,1,1015,10150004001,Alabama,Calhoun County,AL,2019,2018,73,73
64,15000US010150004002,05000US01015,1,1015,10150004002,Alabama,Calhoun County,AL,2018,2018,98,73
